User,Time,Comment
世界尽头,2018-06-15 06:33:30,['青梅竹马，甜中带涩的爱情，这就是我心中初恋的味道吧。“我到底要用怎么样的速度生活才能与你再次相遇。谁都不可能和谁在一起一辈子，人就是这样，必须去习惯失去。”']
面朝大海,2018-06-13 06:34:03,['那段没有对白的MV非常打动人，透露出的情感瞬间将整部电影升华。']
白玉堂,2016-12-31 20:05:55,['剧情还可以，观感也不错，就是音乐一般']
冰红深蓝,2015-10-16 22:43:28,['无奈擦肩而过的爱情和无疾而终的暗恋，称得上是忧伤清丽的日系纯爱片代表了吧。画面和音乐都很美，只是剧情还是过于理想化和矫情，第三话基本就是快速剪辑的MV，给人走马观花敷衍了事的感觉。比较有感觉的场景是餐馆里谈论最喜欢的寒武纪生物、冬夜车站内围着火炉吃便当以及枯树下接吻。（7.5/10）']
幕天席地,2017-03-11 08:25:54,['日本动画延续一贯的清新画风，两个稚嫩的心灵渴望不可及，能触动你心底最柔软的地方']
喜欢吗~,2017-02-16 12:59:37,['新海诚的作品套路大差不离。。']
不良生,2015-09-03 11:51:23,['每个少年都会死去。']
凌睿,2012-09-29 21:30:15,['不明白新海诚的作品比那些华而不实的国漫高在哪儿。']
小岩井,2011-06-02 22:55:04,['青春老去，悲伤无处不在。只是简单的生活，只是简单的活着']
呆萌兔,2018-06-13 06:36:42,['重逢的一刻，无声胜有声。']
布宜諾斯,2008-01-28 20:51:47,['很多很美的细节，关于生活和情感的，回首已是百年身的时候是最寂寞和悲凉的']
徐若风,2013-07-18 12:20:21,['确实可以帧帧截图当桌面。但整个片子还是很薄弱。勉强3星。']
杨大志°,2016-12-30 08:45:43,['看第一遍的时候居然好像有点看不懂。。画面很美，截图当壁纸']
晗晗晗颖耶,2018-06-14 13:09:22,['人一生会遇到约2920万人，两个人相爱的概率是0.000049。所以你不爱我，我不怪你。——《秒速五厘米》  据说每片樱花飘落的速度是每秒五厘米  超喜欢的《秒速五厘米》。虽然结局是没能在一起。  ']
User,Time,Comment
苏幼,2017-04-06 16:14:58,['画面好美，剧情也好看']
做一件事很难吗,2018-06-13 09:23:22,['日本的动漫电影画面真的太美了 每一帧都可以当壁纸 情节不狗血的基本不错']
爱情海,2017-03-11 00:53:33,['同样的经历，早恋注定是没有好结果吗？']
元气小姐。,2013-02-02 17:36:13,['画面极好 剧情不足']
何倩彤,2017-01-24 03:24:35,['「純愛」和「唯美」都是個人選擇。（是否真的純和美有待商榷。）不好此道的觀眾（如我）偏向虎山行是完全自取滅亡。驚嘆的是，他畫的人，好醜。故事格局在他一眾作品中最小，你完全無法自那些醜角和他們的呢喃中逃脫。加上無止境的鋼琴配樂... 他製造高潮的板斧就是將風景slideshow的速度調快而已。']
夜寻,2012-09-13 19:01:49,['色彩真赞啊景色真漂亮啊五星全给景色！&gt;&lt;以至于人反而影响了画面→_→。。。我是不理解这种不管什么时候都苦大仇深的感觉= =不过还真似曾相识。。以及我完全想不明白他俩为毛不能在一起，又没人阻止他俩一起，说距离远吧他不还去了东京。他喜欢又不去追，然后跟别人交往你又忘不了初恋，这不废柴么。']
猛汉世雄,2008-02-07 12:21:38,['还不如买本画集看看']
biang,2018-06-14 13:08:07,['樱花掉落的速度是每秒5厘米，那么两颗心需要多久才能靠近[心]人一生会遇到约2920万人，两个人相爱的概率是0.000049，你不爱我，我不怪你，好的是《你的名字》弥补了《秒速五厘米》的遗憾不管我们之间有多远，我都会走到你身边']
寂静时候不欢喜,2016-12-31 15:14:49,['听说这个要拍了？赶快过来给动漫版评个分，觉得我国翻拍动漫拍不好，会毁……']
安德烈大叔,2016-09-17 13:12:18,['这是典型的大家都爱，但我却无动于衷的电影，难道我成长过程中不可挽回的丢掉了一颗珍珠？']
王大根,2011-08-23 13:17:42,['太淡如水。']
甜瓜甜瓜,2017-04-06 21:59:40,['相遇时需要珍惜 错过后不要后悔 向前走的时候不忘回头看看 是不是有人如同你注视着前面的人一样注视着你']
大耳朵_,2017-03-19 22:24:22,['画面太美了，以至于我可以忽略部分不能忍的剧情→_→听说这个要拍真人? 吓人，这么美的电影可如何还原']
路西法尔,2014-10-02 20:07:29,['男女主角初吻时才十三岁，所以剧情有点小四的感觉也可以理解吧……等等，十三岁？！十三时我在梦想征服世界啊……==过半的时候叙事就开始慢慢崩坏，比之简陋的人物，过于频繁的视角变换和插叙害得我以为在讲三个无关的故事。']
Spoiler,2017-06-22 22:20:33,['画面没的说，分数虚高了，剧情根本没什么，感动一瞬间而已，仅此而已。']
掉线,2013-08-02 08:43:44,['【C+】画面唯美，配乐清新，可惜内容空洞，绣花枕头']
heart,2018-06-12 01:12:02,['好好看好好看  随便截一张都可以做壁纸啊啊啊！！']
时光轻浅,2018-06-12 14:40:32,['以前看是伤感，现在看是释然。']
不爱吃青椒,2017-03-19 23:02:04,['虽然画面美 但我get不到…… 或许太文艺的不适合我吧 看着想睡觉……']
花落  思量错,2017-05-04 08:27:21,['新海诚的作品画面都很唯美，故事都很浪漫曲折，很美好。']
User,Time,Comment
天才+英雄,2012-04-27 21:50:12,[]
栖鹘,2017-02-04 21:50:52,['每一帧都是壁纸 初初看完还觉得平淡 但是看完评论 很多我无法理解的感受忽然理解了 带着淡淡的无奈和感伤']
★☆☆☆☆,2009-09-18 23:53:32,[]
方枪枪,2014-02-09 18:12:01,['如果，樱花掉落的速度是每秒5厘米，那么两颗心需要多久才能靠近？']
愿赌服输,2018-06-13 10:42:49,['错过大概是最好的结局']
盒盒菜盒盒,2017-10-31 12:03:05,['人老了，看不懂这样的纯爱了，男主角那种青春期死去活来的小破情绪，懂，却不怎么打动我了。因为对于人和人心的距离在时间和实际距离的作用下越来越远这件事，已经看得很开了。我们可能互相还在思念着一些人，却不约而同的不再彼此联系，他们说这是命运使然，什么物衰，不过重新拾起来也没那么难吧摊手']
nikki,2011-09-12 16:00:15,['忘记自己以前看过了又去拖了。总体评分就两个字“矫情”。每一幕的画面都很漂亮，音乐跟片尾都很好。但做为一部电影主题的故事实在是太弱，我不认同那些说打分低都是没有经历过类似的事所以不被感动的说法，不被感动是因为说故事的人水准太差了吧。或者说我真是老了应该十代的时候来打分的。']
高X远Yz,2018-06-14 10:17:26,['不管你怎么努力，人生总会有遗憾和不完美，我相信命运和缘份，遗憾永远是遗憾，贵树心中的明里也只能永远活在他的回忆里。']
脱氧核糖十三,2011-10-07 01:00:59,[]
蓝下老婆,2017-05-03 14:17:15,['普通得不能再普通的故事，但表现方式却很唯美']
有心打扰,2011-02-15 00:01:16,['13岁的时候，你心里面的那份思念属于谁？如今，这份思念还在吗？当时的情感还在吗？']
Auror,2012-08-12 08:15:11,['断断续续看了四五次，终于看完了。前面感觉有些无聊，但最后音乐响起还是流眼泪了。不过第二段的小姑娘怎么不表白呢，自己想的不一定是对的啊，问过才知道']
小耳朵图吗,2008-08-08 00:06:53,[]
科林,2018-07-29 22:27:25,['雪一片一片一片一片，拼出你我的缘份，我的爱因你而生，你的手摸出我的心疼。雪一片一片一片一片，在天空静静缤纷。']
Frank,2011-09-04 14:34:18,['原来三个故事是一个人串起来的  音乐和摄影不错 新海诚的风格 肯定有好看的构图音乐还有天空和宇宙  这样就能让小故事大气起来  不过小清新不能多看 恩恩']
太子猪AO,2011-09-03 10:55:07,['明明知道看完心情肯定不好。不明白的是，为什么男生一直不去联系她呢？最有感触的是他们在樱花树下接吻时，男主内心的一段话，“共同分担的这13年的人生，下一瞬间，情不自禁地感到悲伤。我们也清楚今后不可能一直在一起，在我们面前是前所未有的巨大的人生，茫茫的时间无情地横在我们面前。。。”']
Vinny_yI,2017-03-11 10:51:33,['还是喜欢新海诚的画风，但是剧情真的是他此类电影的硬伤啊']
Reynard,2011-05-14 00:04:25,['看了豆瓣排名第一的影评，理解了这是一部了不起的动画片，可惜还是觉得自己老了，病入膏肓，救不得了。纵使一千封邮件也无法让两个人的心更接近一点，却是童年时心灵的碰撞，留下纯净透明的情感。越是找寻这无法追忆的心动，反而越是只能寂寞在梦幻的泡影里。为什么我的文笔这么差！']
一蓑烟雨任平生,2018-03-26 00:40:36,['很好看的一部电影，有一种青春的味道，年轻男女之间的爱恋，还有对远方喜欢的人的思念，都挺让人有所感触的，还有一些是阴差阳错，因为火车的晚点，并没有错过对方，但是那封告白信却掉落北风吹走，也不知道她们后来有没有在一起，给观影着留下想象的空间。新海诚的很多动漫都挺好的。']
Yancey,2011-01-31 18:02:36,['这次我跟大众口味不合了。。。。不过画面很美啊。厄。。就是很治愈，很催眠啊，关键是后者，几度让我困到睡着啊~~是因为半夜看的关系吗？~囧rz...2011年1月31日0:19:06']
User,Time,Comment
诸葛若见,2016-11-22 22:05:29,['熟悉街头的转角，藏着回忆。樱花坠落的片刻，有你身影。遗憾错过的瞬间，可惜是你。唯美的画面，动人的初恋。不言不语总是情，哪怕只是擦肩而过。为那些逝去的青春，唏嘘不已。新海诚作品最喜欢之一，太多让人感同身受的细节。']
易,2012-09-10 12:46:20,['很没有情节，但是导演很善于说故事，就和皮埃尔热内或者岩井俊二的作品一样，我突然想，村上那本似乎永远也没法排成好电影的《挪威的森林》是否该交给新海诚做成动画片呢？也许干净的动画能保留住村上和我们心中的那份东西和等待？']
历史理性,2016-11-28 04:06:08,['期待するほど感動ができなかったが、星5つをつける。というのはやはりある意味で私もそのような、初恋を絶対視するバカバカしい恋愛観の信者かもしれない。それは要するに初恋は成就できなかっただろう。成就すればまた幻滅する。その意味で初恋はまた一つの「共産主義」といえるではなかろうか']
OCT IO≯,2012-04-23 11:44:04,['爱过的人可能永远无法忘记，错过的人可能一辈子都会错过，不爱的人可能永远不会爱上…异地恋风险高，有时就像买股票，管你爱的有多深，一旦长时间分隔八成会玩完…最后由衷的说一句，诚哥！拜托你把人设的工作交给别人吧…']
风吟喵,2012-06-19 11:46:38,[]
柠檬海盐,2017-05-01 21:06:57,['居然没有标记，很喜欢，可以截很多壁纸。']
.,2011-01-23 17:29:14,[]
幸子のいぬ,2012-05-22 20:09:30,['叙事调调相当沉闷，倒和反映的主题相当的契合，静下心才会觉得是部好电影，是一部我不想看第二遍的好电影']
